,type,score,title,seasons,image,link,generos,pais,tags,fecha,duracion,sinopsis,audio,subtítulos
0,NUEVOS EPISODIOS,8.0,Grantchester,8 Temporadas,https://static.filmin.es/images/media/43658/22/card_0_3_550x310.jpg,https://www.filmin.es/serie/grantchester,Documental,Reino Unido,"Series Thriller, Series Británicas, Novela Policiaca, Ambientadas en los años 50, Cine de Época, Series de época, Comedia Detectivesca, Detectives, Asesinato, Religión, Murder Mistery, Crimen y Delincuencia, Vida Rural",2022.0, 8 Temporadas ,"Un detective de policía y un cura tratarán de desentrañar la misteriosa saga de crímenes que atemoriza una apacible aldea de la campiña inglesa en este 'hit' de la televisión británica.

Ambientada en 1953, en una pequeña población de la campiña inglesa, narra la historia de un atípico pastor anglicano, Sidney Chambers, que trata de descubrir la verdad oculta tras diferentes sucesos que amenazan a su comunidad de feligreses. ","Español
Inglés",Español
1,SERIE,7.9,El manipulador,Serie completa,https://static.filmin.es/images/media/45318/1/card_0_3_550x310.jpg,https://www.filmin.es/serie/el-manipulador,"ThrillerThriller, Drama",Suecia,"1 CannesSeries, Basada en hechos reales, Series nórdicas, Cine Nórdico, Abusos sexuales, Abusos a menores, Machismo, Violencia machista, Misterio, Crimen y Delincuencia, Deportes, Historias cruzadas, Grandes éxitos en suscripción, Subtítulos en inglés, Infancia y Adolescencia",2023.0, Serie completa ,"La nueva serie de los creadores de ""The Restaurant"". Un thriller basado en hechos reales que recrea un caso de abusos sexuales en un centro ecuestre durante dos décadas en Suecia.

Tres mujeres con diferentes conexiones con un hombre necesitan encontrar una manera de escapar de las garras de un manipulador. ¿Las creerá la sociedad o será él capaz de manipularlas de nuevo?","Sueco (Original)
Español","Español
Inglés
Catalán"
2,SERIE,6.5,The Curse II: Costa del Crimen,Serie completa,https://static.filmin.es/images/media/47142/1/card_0_3_550x310.jpg,https://www.filmin.es/serie/the-curse-ii-costa-del-crimen,Comedia,Reino Unido,"Comedia en Serie, Comedia Criminal, Ambientadas en los años 80, Rodado en España, Crimen y Delincuencia, Sátiras y Parodias, Robos, Mafias, Cine de Persecuciones, Basada en hechos reales, Subtítulos en inglés",2023.0, Serie completa ,"El último gran éxito comercial en Gran Bretaña es una comedia criminal rodada al estilo Guy Ritchie que en su segunda temporada se traslada a la España de los 80. Protagonizada por el popular trío de la sitcom ganadora del BAFTA ""People Just Do Nothing"": Allan Mustafa, Steve Stamp y Hugo Chegwin.

Mientras Mick languidece en prisión, Albert, Tash y Sidney han escapado para comenzar una nueva vida en España, en la Costa del Sol.","Inglés (Original)
Español","Español
Inglés
Catalán"
3,SERIE,7.3,The Curse,Serie completa,https://static.filmin.es/images/media/44486/5/card_0_3_550x310.jpg,https://www.filmin.es/serie/the-curse,Comedia,Reino Unido,"Comedia en Serie, Comedia Criminal, Ambientadas en los años 80, Crimen y Delincuencia, Sátiras y Parodias, Robos, Mafias, Cine de Persecuciones, Basada en hechos reales, Subtítulos en inglés",2022.0, Serie completa ,"El último gran éxito comercial en Gran Bretaña es una comedia criminal rodada al estilo Guy Ritchie y libremente inspirada en un infame robo que tuvo lugar en 1983, cuando seis amigos asaltaron un almacén y, en vez de las 50.000 libras que esperaban, se encontraron con un cargamento de siete mil lingotes de oro. Protagonizada por el popular trío de la sitcom ganadora del BAFTA ""People Just Do Nothing"": Allan Mustafa, Steve Stamp y Hugo Chegwin.

Londres a principios de la década de 1980, durante la época de Thatcher. Una pandilla de amigos, delincuentes de poca monta se ven envueltos en uno de los robos de oro más grandes de la historia debido a su propia estupidez y falta de juicio.","Español
Inglés","Inglés
Catalán
Español"
4,SERIE,8.1,La delgada línea azul,2 Temporadas,https://static.filmin.es/images/media/35292/8/card_1_3_550x310.jpg,https://www.filmin.es/serie/la-delgada-linea-azul,"ComediaDrama, Thriller",Suecia,"1 Nordic International Film Festival, Cine Nórdico, Series nórdicas, Thriller Nórdico, Cine Policíaco, Relaciones Familiares, Crimen y Delincuencia, Violencia, Grandes éxitos en suscripción",2021.0, 2 Temporadas ,"La gran sensación de la televisión escandinava, del mismo creador de uno de los mayores éxitos seriéfilos de Filmin: ""The Restaurant"". Una serie de policías que se parece poco a otras series de policías, y que en este caso se centra en los esfuerzos que deben hacer los agentes para separar lo profesional de lo personal y evitar que la dureza de las situaciones a las que deben enfrentarse a diario afecte a su vida privada.

Un sofisticado drama criminal ambientado en la ciudad de Malmö, en Suecia. Un retrato íntimo de la vida cotidiana de seis agentes de policía donde la delgada línea entre lo público y lo personal se difumina y las tensiones se elevan. ","Español
Sueco","Español
Catalán"
5,SERIE,7.9,Sanditon,Serie completa,https://static.filmin.es/images/media/28494/9/card_3_3_550x310.jpg,https://www.filmin.es/serie/sanditon,"Romántica, Drama",Reino Unido,"Series de época, Obra de Jane Austen, Decimonónico, Basado en una Novela, Relaciones Sentimentales, Alta Sociedad, Mujeres Guerreras, Romance, Romance de época, Series Británicas, Subtítulos en inglés",2022.0, Serie completa ,"El ganador del BAFTA y el Emmy, Andrew Davis, adapta de nuevo a Jane Austen, tras hacerlo en 1995 con ""Orgullo y prejuicio"", para llevar a la ficción televisiva la última e inacabada novela de la célebre escritora inglesa. La trama se ambienta en un pequeño pueblo de pescadores que se prepara para acoger la construcción de un gran balneario que revitalizará la zona. 

Sanditon es el nombre de un antiguo pueblo de pescadores que se está transformando en un balneario de moda. Allí se encuentra Charlotte Heywood, una mujer liberal y moderna para la época y también muy impulsiva que desea reinventarse. La trama da un giro cuando salen a la luz las agendas ocultas de los personajes, cuya fortuna depende del éxito comercial de Sanditon.","Español
Inglés","Español
Catalán"
6,SERIE,7.7,The Architect,Serie completa,https://static.filmin.es/images/media/46305/9/card_0_3_550x310.jpg,https://www.filmin.es/serie/the-architect,"Drama, Comedia, Ciencia ficción",Noruega,"2 Festival de Berlín, Otros 1 premios o nominaciones, AMFF 2023, AMFF 2023 - Arties, Estreno exclusivo, Series nórdicas, Cine Nórdico, Cine Social, Sátiras y Parodias, Distopía, Arquitectura, Mundo laboral, Lucha de clases, Capitalismo, Subtítulos en inglés",2023.0, Serie completa ,"Mejor Serie en el Festival de Berlín. Una obra distópica con extraordinaria planificación en la que una joven arquitecta interpretada por Eili Harboe (""Succession"", ""Thelma"") se ve obligada a vivir en el garaje por la subida de precios del alquiler.

En un futuro no muy lejano en el centro de Oslo, el precio de la vivienda se ha disparado a sumas grotescas, pero el colapso que todos esperan no acaba de llegar. El motivo: los propietarios encuentran constantemente soluciones creativas para meter a la mayor cantidad de personas posible en un apartamento, y los derechos de los inquilinos han sido severos...","Español
Noruego (Original)","Español
Inglés
Catalán"
7,SERIE,8.0,Kids in Crime,1 Temporada,https://static.filmin.es/images/media/44960/5/card_0_3_550x310.png,https://www.filmin.es/serie/kids-in-crime,Drama,Noruega,"1 Nordisk Film & TV Fond, Otros 3 premios o nominaciones, Estreno exclusivo, Series nórdicas, Cine Nórdico, Infancia y Adolescencia, Crimen y Delincuencia, Teen Angst, Drogas, Narcotráfico, Grupo de amigos, Violencia, Subtítulos en inglés",2022.0, 1 Temporada ,"Entre ""Euphoria"" y ""Trainspotting"", la serie más controvertida de la temporada. Ganadora de 4 Premios Gullruten, los Óscar del cine y la TV en Noruega, ""Kids in Crime"" nos narra el descenso a los infiernos de la violencia y el narcotráfico de dos jóvenes adolescentes: Tommy, un futbolista cuya carrera ha quedado truncada por una grave lesión de rodilla, y Pål Pot, un joven con TDAH.

Año 2001. Tommy, un joven y prometedor futbolista cuya carrera ha sido truncada por una lesión de rodillla, y su amigo Pal Pot, que lleva años lidiando con el TDAH, se sumergen en el submundo de las drogas.","Español
Noruego (Original)","Español
Catalán
Inglés"
8,SERIE,8.9,Liv Ullmann: El camino menos transitado,Serie completa,https://static.filmin.es/images/media/46282/9/card_2_3_550x310.jpg,https://www.filmin.es/serie/liv-ullmann-el-camino-menos-transitado,Drama,Noruega,"1 Festival de Cannes, Otros 1 premios o nominaciones, Estreno exclusivo, AMFF 2023, AMFF 2023 - Arties, Serie Documental, Documental Autobiográfico o Confesional, Documental sobre Cine, Documental de Personaje, Documentales sobre Mujeres de referencia, Documental sobre Feminismo, Feminismo, Entrevistas, Gente del cine, Ingmar Bergman, Subtítulos en inglés",2023.0, Serie completa ,"Un recorrido por la vida de uno de los mayores iconos de Noruega, una artista de renombre mundial y una humanitaria dedicada: Liv Ullmann. Con la participación de reputadas figuras como las de Cate Blanchett, Jessica Chastain, Jeremy Irons o John Litgow, que rinden homenaje y relatan sus colaboraciones compartidas.

Documental en tres partes que explora la vida polifacética y de múltiples capas de Liv Ullmann, desde ""Persona"" de Bergman a su versión de ""Miss Julie"" de Ibsen.",Inglés (Original),"Inglés
Español
Catalán"
9,SERIE,7.8,Castigo,Serie completa,https://static.filmin.es/images/media/45319/5/card_1_3_550x310.jpg,https://www.filmin.es/serie/castigo,Documental,Alemania,"1 CannesSeries, Estreno exclusivo, Basado en un Cuento, Serie de antología, Juicios, Abogados, Museos, Mind-Blowing, Subtítulos en inglés",2023.0, Serie completa ,"Seis visiones cinematográficas. Seis historias. Una serie antológica que podría definirse como el ""Black Mirror"" del mundo de la justicia. Basada en los cuentos cortos de Ferdinand von Schirach, es una excelente exhibición de algunos de los directores más destacados y emocionantes de Alemania. Una serie no apta para personas sensibles que dejará una profunda impresión en todos los espectadores que se atrevan con ella.

SUBOTNIK (Helene Hegemann) es la historia de una mujer turca nacida en Alemania que vive en Berlín y se convierte en abogada porque cree que el estado de derecho garantiza la integridad de cada individuo. Su primer caso: defender a un traficante de personas.

THE JUROR (Mia Spengler) cuenta la historia de una mujer miembro de un jurado que se conmueve hasta las lágrimas por el testimonio de una mujer que declara contra su esposo maltratador. Debido al sesgo de la jurado, el acusado queda libre y posteriormente asesina a su esposa.

THE DIVER (Oliver Hirschbiegel) tiene lugar en una pequeña ciudad profundamente religiosa de Baviera y gira en torno a un fetiche inusual que lleva a la muerte.

THE LAKE HOUSE (Patrick Vollrath), ubicada en las orillas del lago Starnberg, sigue a un anciano que siempre ha sido un marginado. La casa del lago es su hogar y único refugio, y la defiende con medidas brutales. Y se sale con la suya. O al menos eso parece.

THE THORN (Hüseyin Tabak) narra la historia de un tímido guardia de museo que cae bajo el hechizo de una antigua estatua de mármol llamada ""The Thorn Puller"". Pero algo crucial parece faltar en la estatua... lo que amenaza con hacer que el guardia pierda la cordura.

A LIGHT BLUE DAY (David Wnendt) trata sobre una mujer que asumió la responsabilidad de la muerte de su hijo para proteger a su esposo. Luego descubre que la muerte del niño no fue, como le había dicho su esposo, un accidente.","Alemán (Original)
Español","Español
Inglés
Catalán"
10,SERIE,8.1,La noche que Logan despertó,Serie completa,https://static.filmin.es/images/media/44966/4/card_0_3_550x310.jpg,https://www.filmin.es/serie/la-noche-que-logan-desperto,"DramaThriller, Drama",Canadá,"1 Festival de Sundance, Otros 11 premios o nominaciones, Estreno exclusivo, Basada en Obra Teatral, Ambientadas en los años 90, Relación entre Hermanos, Relaciones Familiares, Abusos sexuales, Venganza, Subtítulos en inglés, Cine de Quebec, Grandes Estrenos, Grandes éxitos en suscripción",2023.0, Serie completa ,"Presentamos en exclusiva la primera serie de Xavier Dolan. Un thriller dramático en el que se desvelarán secretos familiares que incluyen un crimen y mucho castigo.

A principios de la década de 1990, Mimi y su hermano Julien son los mejores amigos de Logan, un trío inseparable. Los chicos juegan en el equipo de béisbol y acaban de ganar el campeonato regional, mientras que Mimi sueña con dedicarse al teatro. Pero en 1991 su relación da un giro completo cuando Logan y Mimi se ven envueltos en un terrible incidente. Treinta años después, Mimi, convertida en una tanatóloga de renombre, regresa a su tierra natal para velar del cuerpo de su madre, recientemente fallecida, y allí se reencuentra con ellos. Los rencores y las viejas heridas resurgen con más fuerza que nunca.","Español
Francés (Original)","Español
Inglés
Catalán"
